match_no,team_id,player_id,booking_time,sent_off,play_schedule,play_half
1,1216,160349,32,nan,NT,1
1,1216,160355,45,nan,NT,1
1,1207,160159,69,Y,NT,2
1,1216,160360,78,nan,NT,2
2,1221,160470,14,nan,NT,1
2,1201,160013,23,nan,NT,1
2,1201,160013,36,nan,NT,1
2,1201,160014,63,nan,NT,2
2,1221,160472,66,nan,NT,2
2,1201,160015,89,nan,NT,2
2,1201,160009,93,nan,NT,2
3,1218,160401,2,nan,ST,2
3,1218,160406,31,nan,NT,1
3,1218,160408,78,nan,NT,2
3,1218,160411,80,nan,NT,2
3,1218,160407,83,nan,NT,2
4,1206,160120,62,nan,NT,2
4,1217,160377,72,nan,NT,2
5,1222,160505,31,nan,NT,1
5,1222,160490,48,nan,NT,2
5,1204,160077,80,nan,NT,2
5,1222,160502,91,nan,NT,2
6,1213,160290,65,nan,NT,2
6,1212,160258,69,nan,NT,2
6,1213,160284,89,nan,NT,2
7,1223,160518,68,nan,NT,2
8,1205,160100,61,nan,NT,2
9,1215,160336,43,nan,NT,1
9,1220,160445,61,nan,NT,2
9,1215,160341,77,nan,NT,2
10,1211,160236,65,nan,NT,2
10,1211,160248,75,nan,NT,2
10,1211,160235,78,nan,NT,2
10,1211,160245,84,nan,NT,2
10,1203,160057,93,nan,NT,2
11,1202,160027,33,nan,NT,1
11,1202,160027,66,Y,NT,2
11,1209,160204,80,nan,NT,2
12,1210,160227,2,nan,ST,2
12,1210,160221,55,nan,NT,2
13,1218,160395,46,nan,NT,2
14,1221,160480,2,nan,ST,2
14,1216,160361,22,nan,NT,1
14,1216,160357,24,nan,NT,1
14,1216,160367,37,nan,NT,1
14,1221,160477,50,nan,NT,2
14,1216,160352,76,nan,NT,2
15,1201,160015,55,nan,NT,2
15,1201,160011,81,nan,NT,2
15,1207,160152,88,nan,NT,2
16,1224,160535,61,nan,NT,2
17,1223,160528,40,nan,NT,1
17,1212,160272,63,nan,NT,2
17,1223,160523,67,nan,NT,2
17,1212,160266,87,nan,NT,2
17,1212,160259,90,nan,NT,2
18,1208,160175,3,nan,NT,1
18,1213,160294,3,nan,ST,2
18,1208,160177,34,nan,NT,1
18,1213,160293,45,nan,NT,1
18,1213,160288,55,nan,NT,2
18,1208,160165,67,nan,NT,2
19,1211,160242,69,nan,NT,2
19,1220,160447,89,nan,NT,2
19,1211,160231,94,nan,NT,2
20,1204,160080,14,nan,NT,1
20,1205,160101,72,nan,NT,2
20,1204,160081,74,nan,NT,2
20,1204,160078,88,nan,NT,2
21,1219,160424,2,nan,NT,1
21,1222,160504,9,nan,NT,1
21,1222,160500,41,nan,NT,1
22,1215,160334,42,nan,NT,1
22,1203,160056,49,nan,NT,2
23,1209,160199,2,nan,ST,2
23,1210,160229,42,nan,NT,1
23,1210,160227,75,nan,NT,2
23,1210,160216,77,nan,NT,2
23,1209,160192,81,nan,NT,2
